user_id,operator,plan_type,download_speed_mbps,got_4g_instead_of_5g,post_expiry_calls_3x,signal_problems,sits_under_sunlight_for_network,phonepe_extra_charge,call_cut_zero_balance,no_1gb_per_day_plan,data_loan_available,years_using_sim,age_group,complaint_count,churned
19,Jio,5G,14.76,1,1,1,1,1,0,0,1,5+,18-25,5,1
21,Jio,5G,10.8,1,1,1,1,1,0,0,1,1-3,26-35,5,1
51,Airtel,5G,2.34,1,0,1,1,1,1,1,0,1-3,18-25,6,1
26,Jio,5G,17.25,1,1,1,1,1,0,0,1,3-5,18-25,5,1
7,Jio,5G,11.62,1,1,1,1,1,0,0,1,1-3,26-35,5,1
72,Airtel,5G,1.18,1,0,1,0,0,1,1,0,3-5,18-25,4,0
2,Jio,5G,14.78,1,1,1,1,1,0,0,1,1-3,18-25,5,1
17,Jio,5G,13.79,1,1,1,1,1,0,0,1,1-3,50+,5,1
65,Airtel,5G,2.33,1,0,1,1,1,1,1,0,3-5,18-25,6,1
6,Jio,5G,6.91,1,1,1,1,1,0,0,1,1-3,18-25,5,1
76,Airtel,5G,1.21,1,0,1,0,0,1,0,0,5+,18-25,3,0
10,Jio,5G,13.18,1,1,1,1,1,0,0,1,3-5,18-25,5,1
73,Airtel,5G,1.35,1,0,1,0,0,1,1,0,3-5,26-35,4,0
13,Jio,5G,9.21,1,1,1,1,1,0,0,1,<1,26-35,5,1
38,Jio,5G,6.49,1,1,1,1,1,0,0,1,5+,26-35,5,1
